age,job,marital,balance,accepted_offer
54,management,divorced,45891,0
53,management,married,4626,0
68,management,single,4622,0
43,blue-collar,married,17530,0
44,admin,single,16802,1
57,blue-collar,married,18681,1
55,blue-collar,divorced,38138,0
64,technician,married,1031,0
60,management,married,40440,0
42,admin,single,39941,0
47,technician,single,22833,0
55,blue-collar,single,39150,0
21,management,married,34174,0
55,technician,divorced,35354,0
57,management,single,45771,0
67,technician,single,7652,0
34,management,married,38018,0
23,blue-collar,single,45040,0
21,admin,divorced,9767,0
25,blue-collar,divorced,24789,0
46,admin,single,562,0
34,management,single,49948,0
59,technician,married,29426,0
47,blue-collar,divorced,5729,0
29,admin,divorced,48777,0
35,blue-collar,single,47415,0
35,admin,married,4132,0
46,blue-collar,divorced,38556,1
62,admin,divorced,3096,0
33,admin,married,43743,0
52,management,married,5668,0
59,admin,divorced,42063,0
69,management,divorced,7061,0
52,admin,married,7758,1
24,technician,divorced,16116,0
50,technician,single,26234,0
57,technician,single,5871,0
43,admin,married,25569,0
59,management,married,13869,0
65,management,married,12410,0
35,admin,single,7443,0
63,technician,divorced,11699,1
49,technician,single,15228,0
56,management,divorced,22775,0
33,technician,single,6238,0
52,blue-collar,divorced,15413,0
27,management,single,34740,0
42,technician,married,18623,0
48,management,single,47947,0
22,blue-collar,divorced,34029,0
62,management,single,9667,0
65,management,single,10054,0
26,management,single,16760,0
48,management,married,46545,1
48,blue-collar,single,3312,0
64,admin,married,27524,0
64,management,married,26785,1
40,management,single,26400,0
50,technician,single,1105,1
31,management,single,5122,0
48,technician,divorced,6267,0
45,admin,single,26639,0
59,blue-collar,married,11113,0
53,blue-collar,single,10089,0
21,admin,divorced,13418,0
47,blue-collar,single,19619,0
33,admin,divorced,26946,0
61,admin,divorced,12546,0
23,admin,single,24318,1
59,blue-collar,married,34858,0
26,technician,divorced,49715,0
28,admin,single,3824,0
47,management,single,10287,0
29,blue-collar,married,8611,1
57,admin,divorced,37610,0
53,admin,divorced,15889,0
62,management,single,40927,0
64,technician,single,13543,0
44,technician,married,28246,0
35,technician,married,21850,0
52,admin,divorced,41105,0
52,admin,divorced,-383,0
44,admin,single,46185,0
61,blue-collar,divorced,18435,1
69,management,married,46577,1
69,admin,married,12734,0
32,management,single,37828,0
59,management,married,346,0
22,technician,married,10454,0
23,blue-collar,married,13203,1
69,admin,married,47653,0
57,technician,single,46014,0
69,technician,single,22200,0
37,admin,divorced,31543,0
69,management,married,5969,0
22,technician,divorced,29605,0
22,management,single,41601,0
48,blue-collar,single,25886,0
43,management,single,48876,0
57,blue-collar,single,45087,0
52,management,single,36476,0
53,technician,single,38551,0
21,technician,single,1548,0
39,blue-collar,married,38501,0
22,admin,divorced,12441,0
64,blue-collar,single,44875,0
46,blue-collar,married,42033,0
52,management,married,1328,1
26,management,divorced,1417,0
52,blue-collar,single,20118,0
24,technician,divorced,31754,0
31,management,single,39256,0
37,admin,married,46862,0
58,management,married,19628,0
44,management,married,45245,0
25,admin,married,-491,0
54,blue-collar,divorced,16144,0
26,admin,single,21922,0
42,blue-collar,single,9365,0
31,blue-collar,divorced,1719,0
68,blue-collar,single,39309,0
36,admin,married,4787,0
53,blue-collar,single,33887,0
29,technician,married,8012,0
26,admin,divorced,842,0
36,technician,single,42836,0
49,blue-collar,divorced,18716,0
23,management,single,27034,0
40,blue-collar,married,13731,0
56,technician,divorced,31793,0
39,technician,single,26114,0
46,admin,married,35758,0
23,management,divorced,27753,1
39,admin,divorced,41578,0
40,technician,single,40252,1
52,blue-collar,single,17488,0
27,management,single,30537,0
61,blue-collar,married,11719,0
53,blue-collar,single,-265,1
60,management,divorced,42429,0
59,admin,divorced,1408,0
38,blue-collar,single,8067,0
60,technician,single,35798,0
21,blue-collar,divorced,4756,0
31,management,married,18519,0
48,management,single,7662,0
45,management,single,4915,0
43,admin,divorced,35659,1
51,blue-collar,single,43425,1
50,admin,married,5451,0
62,admin,divorced,21352,0
55,management,single,7507,1
27,management,divorced,41332,0
36,admin,single,30023,0
46,blue-collar,single,22825,1
68,technician,single,20704,0
69,admin,married,15024,0
22,blue-collar,married,18782,0
21,management,divorced,23430,1
68,management,single,-423,1
32,blue-collar,single,39845,1
25,technician,married,20111,0
57,management,single,16484,1
52,management,married,13560,0
29,management,single,16949,0
61,blue-collar,divorced,18020,0
55,admin,single,42803,0
39,management,single,9010,0
68,admin,married,28787,0
36,technician,single,27673,0
23,management,single,39211,0
40,management,married,11454,0
44,technician,divorced,7304,0
53,management,divorced,6065,0
44,admin,married,5484,0
31,blue-collar,married,21026,0
69,admin,married,36938,0
28,blue-collar,married,18074,0
56,blue-collar,married,8684,0
58,admin,divorced,18596,0
60,admin,divorced,1692,1
